#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis;6;43;37;15;0;2;30;0;1;0;7;97;12;72;0;0;1;0;0;4;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Micrococcaceae|g__Rothia_32207|s__Rothia_aeria;10;113;30;13;0;0;50;0;2;3;4;97;32;13;1;0;4;2;5;2;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_haemolyticus;4;32;70;13;0;1;1;0;17;31;10;96;59;20;2;1;8;1;27;42;85;4
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_translucens;170;137;8;91;2;0;0;0;0;0;267;95;0;16;0;0;0;0;3;1;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_striatum;23;85;82;96;1;0;25;0;10;9;23;94;104;52;0;0;0;0;10;9;3;0
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_portucalensis;90;83;77;173;95919;98817;41743;38041;14;19;91;91;82;706;87673;91566;12277;42528;11;19;27;1841
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_lablabi;39;82;84;42;1;1;0;0;18;18;58;90;77;47;0;0;0;0;31;26;179;275
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae;12;97;79;31;3;1;104;0;5;6;27;90;33;39;0;1;8;1;2;2;1;35
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_mucidolens;165;68;14;0;0;4;0;2;1;2;188;89;3;2;1;0;0;1;3;2;149;108
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._LMTR_13;38;112;82;44;0;0;1;0;18;12;60;88;74;56;0;0;0;0;22;27;341;96
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_oligotrophicum;25;91;59;44;1;0;0;0;22;16;50;87;63;23;0;0;0;0;25;11;136;86
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._39S1MB;23;82;27;36;0;0;0;0;15;8;45;87;53;36;0;0;0;0;31;19;444;98
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._CCBAU_53351;21;64;82;29;2;0;0;0;14;6;36;84;41;27;0;0;0;0;21;7;89;330
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris;3;28;17;16;0;0;8;1;3;2;11;84;10;8;0;0;0;0;4;5;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners;620;60;1743;95;1;2;4;0;274;271;616;83;1602;84;2;3;5;2;299;352;1;5
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._CCBAU_051011;30;85;56;42;0;0;0;0;19;13;37;82;50;34;0;0;0;0;20;14;285;65
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_sicca;6;39;24;25;1;0;180;0;35;8;15;82;16;18;0;0;13;0;42;2;0;0
d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptoniphilaceae|g__Finegoldia|s__Finegoldia_magna;26;160;206;41;1;1;9;2;42;20;65;82;153;33;0;3;2;0;49;32;1;944
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus;0;155;16;19;1;2;114;0;1;1;5;81;9;6;0;0;28;0;3;0;0;53
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Pannonibacter|s__Pannonibacter_phragmitetus;3;11;3;13;1;0;0;0;3;1;2;80;8;2;1;0;0;0;0;1;0;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_ambifaria;33;66;57;60;0;0;0;0;18;6;43;79;32;51;0;1;0;0;20;13;0;0
